date,high,low,Close Price,trade,turnover_in_lakhs,contracts,difference
01-Jan-2021,1443.0,1420.6,1425.05,4405469,63155.3342195,24302,22.40000000000009
04-Jan-2021,1438.0,1399.0,1416.0,7870096,111534.732817,40233,39.0
05-Jan-2021,1430.75,1409.0,1426.7,7193412,102141.606024,49022,21.75
06-Jan-2021,1440.0,1413.1,1420.55,11067025,157545.110102,62408,26.90000000000009
07-Jan-2021,1432.6,1412.55,1416.25,9947421,141486.2331115,47083,20.049999999999955
08-Jan-2021,1442.0,1423.1,1431.65,6884382,98639.9739015,59221,18.90000000000009
11-Jan-2021,1464.9,1436.3,1451.45,8665696,125894.82027,94720,28.600000000000136
12-Jan-2021,1487.7,1449.1,1481.0,10194078,149795.635959,95861,38.600000000000136
13-Jan-2021,1496.9,1462.1,1470.65,8467325,124991.9728065,72902,34.80000000000018
14-Jan-2021,1488.0,1456.0,1468.75,6148583,90310.624624,52495,32.0
15-Jan-2021,1471.65,1445.0,1466.65,7082618,103275.074024,81747,26.65000000000009
18-Jan-2021,1502.85,1467.0,1483.1,21412816,318824.8825045,194254,35.84999999999991
19-Jan-2021,1511.65,1467.0,1503.85,8680127,129344.471339,107454,44.65000000000009
20-Jan-2021,1501.0,1486.0,1492.0,6673026,99678.406473,59507,15.0
21-Jan-2021,1494.35,1468.15,1474.8,13166527,194761.3888935,89132,26.199999999999818
22-Jan-2021,1467.9,1440.15,1443.55,7696182,111933.6369815,90596,27.75
25-Jan-2021,1481.0,1455.15,1462.85,10172359,149118.0574175,124272,25.84999999999991
27-Jan-2021,1471.9,1406.15,1409.6,11778138,169254.4542015,112616,65.75
28-Jan-2021,1401.3,1342.0,1371.45,21352223,291278.8635235,127854,59.299999999999955
29-Jan-2021,1408.75,1364.5,1390.5,14352251,199238.9170285,81060,44.25
01-Feb-2021,1482.5,1401.0,1476.75,13185272,189792.3148945,89371,81.5
02-Feb-2021,1578.5,1497.4,1560.55,21210103,330138.0164,128814,81.09999999999991
03-Feb-2021,1581.7,1542.0,1574.8,10118627,158454.986915,61311,39.700000000000045
04-Feb-2021,1588.0,1543.45,1579.1,12242342,191997.1304635,60188,44.549999999999955
05-Feb-2021,1618.25,1548.0,1597.6,13527358,215822.28443,82760,70.25
08-Feb-2021,1631.65,1595.7,1605.25,8723790,140850.760733,61162,35.950000000000045
09-Feb-2021,1628.0,1586.7,1611.85,9210683,148410.622603,49696,41.299999999999955
10-Feb-2021,1614.85,1567.0,1581.75,9894003,157596.877186,53254,47.84999999999991
11-Feb-2021,1597.8,1564.2,1572.35,6824309,107672.959166,40302,33.59999999999991
12-Feb-2021,1592.5,1573.0,1581.95,4955053,78505.7295805,45888,19.5
15-Feb-2021,1625.0,1596.7,1616.6,5177622,83267.767444,54242,28.299999999999955
16-Feb-2021,1641.0,1608.45,1626.65,6948679,112935.4490015,77736,32.549999999999955
